#,Name,%Complete,AvgTime,Std,NoObs
0,ModRepeat_forest_0,84.0,566.702380952381,63.352148789412254,410.0
1,ModRepeat_forest_1,75.0,475.0,50.94912495159591,406.0
2,ModRepeat_forest_2,82.0,492.6585365853659,70.13962025535734,402.0
3,ModRepeat_forest_3,74.0,538.5540540540541,84.21852879071656,389.0
4,ModRepeat_forest_4,88.0,512.4545454545455,64.78248730295113,462.0
5,ModRepeat_forest_5,75.0,472.41333333333336,59.25450043855085,404.0
6,ModRepeat_forest_6,87.0,528.4367816091954,78.11584400040003,374.0
7,ModRepeat_forest_7,83.0,483.6265060240964,56.730755102846295,400.0
8,ModRepeat_forest_8,82.0,529.9756097560976,88.96203295538511,392.0
9,ModRepeat_forest_9,78.0,440.9230769230769,41.624009722807095,394.0
