#,Name,%Complete,AvgTime,Std,NoObs
0,ModRepeat_forest_0,80.0,672.5375,133.9427063850436,433.0
1,ModRepeat_forest_1,77.0,530.5584415584416,77.980432694911,389.0
2,ModRepeat_forest_2,85.0,518.1058823529412,74.13295266802933,422.0
3,ModRepeat_forest_3,79.0,500.1898734177215,70.75382101760705,376.0
4,ModRepeat_forest_4,82.0,513.9268292682926,81.22638951326776,386.0
5,ModRepeat_forest_5,84.0,577.6904761904761,101.29694398982629,445.0
6,ModRepeat_forest_6,84.0,640.547619047619,115.41791607663832,419.0
7,ModRepeat_forest_7,88.0,512.5568181818181,67.20759189301349,379.0
8,ModRepeat_forest_8,79.0,531.4050632911392,80.35798369784632,381.0
9,ModRepeat_forest_9,80.0,521.7125,66.34459166917829,386.0
